Saved changes,Selected all topics,Logged in through login-screen,Viewed content,Viewed feed/topic,Redirecting to media,Viewed notification,Viewed feedItem,Navigating to feed overview,Viewed feed/findOne,Viewed content/all,Viewed space,Logged in,Viewed /auth/login Page,UTM events,Viewed link,Navigating to content overview,Viewed notifications,Opened intercom,Created content,Opened drop down menu for feed item,Viewed feed/all,Viewed /auth/register Page,Viewed content/topic,Selected topic,Created comment,Uploaded file,Downloaded file,Logged out
,,,,0,,,,,,0,,0,,,,,,,,,0,,5,0,,,,
,,,,0,,,,,,-1,,0,,,,,,,,,0,,4,0,,,,
,,,,0,,,,,,-1,,-1,,,,,,,,,0,,5,0,,,,
,,,,0,,,,,,-1,,0,,,,,,,,,0,,-1,0,,,,
,,,,0,,,,,,-1,,0,,,,,,,,,0,,-1,0,,,,
,,,,0,,,,,,-1,,5,,,,,,,,,0,,0,0,,,,
,,,,0,,,,,,23,,0,,,,,,,,,0,,5,0,,,,
,,,,0,,,,,,41,,0,,,,,,,,,0,,-1,0,,,,
,,,,0,,,,,,-1,,2,,,,,,,,,0,,44,0,,,,
,,,,0,,,,,,-1,,0,,,,,,,,,0,,9,0,,,,
,,,,0,,,,,,-1,,0,,,,,,,,,0,,7,0,,,,
,,,,0,,,,,,798,,7,,,,,,,,,0,,-1,0,,,,
,,,,0,,,,,,45,,-1,,,,,,,,,0,,-1,0,,,,
,,,,0,,,,,,-1,,0,,,,,,,,,0,,1,0,,,,
,,,,0,,,,,,-1,,0,,,,,,,,,0,,17,0,,,,
,,,,0,,,,,,9,,0,,,,,,,,,0,,0,0,,,,
,,,,0,,,,,,10,,-1,,,,,,,,,0,,0,0,,,,
,,,,0,,,,,,22,,0,,,,,,,,,0,,0,0,,,,
,,,,0,,,,,,4,,0,,,,,,,,,0,,0,0,,,,
,,,,0,,,,,,10,,0,,,,,,,,,0,,0,0,,,,
,,,,0,,,,,,5,,0,,,,,,,,,0,,454,0,,,,
,,,,0,,,,,,-1,,0,,,,,,,,,0,,474,0,,,,
,,,,0,,,,,,197,,0,,,,,,,,,0,,0,0,,,,
,,,,0,,,,,,0,,1,,,,,,,,,0,,0,0,,,,
,,,,0,,,,,,-1,,1,,,,,,,,,12,,-1,,,,,
,,,,0,,,,,,0,,0,,,,,,,,,0,,0,,,,,
,,,,0,,,,,,22,,0,,,,,,,,,0,,49,,,,,
,,,,0,,,,,,0,,0,,,,,,,,,0,,100,,,,,
,,,,0,,,,,,-1,,3,,,,,,,,,0,,75,,,,,
,,,,0,,,,,,9,,0,,,,,,,,,0,,-1,,,,,
,,,,0,,,,,,-1,,0,,,,,,,,,0,,-1,,,,,
,,,,0,,,,,,-1,,0,,,,,,,,,0,,-1,,,,,
,,,,0,,,,,,16,,0,,,,,,,,,0,,-1,,,,,
,,,,0,,,,,,5,,0,,,,,,,,,0,,8,,,,,
,,,,0,,,,,,22,,0,,,,,,,,,0,,-1,,,,,
,,,,0,,,,,,3,,0,,,,,,,,,0,,3,,,,,
,,,,0,,,,,,56,,0,,,,,,,,,0,,-1,,,,,
,,,,0,,,,,,0,,0,,,,,,,,,0,,116,,,,,
