space_1,distinct_id,2,3,4,5,6,7,week_login_total
MRK3480 Forbrukeratferd,5698da7141a9d7210024097f,0,1,4,0,2,0,7
MRK3480 Forbrukeratferd,5698da6641a9d721002408fc,1,0,2,1,3,0,7
MRK3480 Forbrukeratferd,5698da782fb0de2600f22bf5,0,2,4,1,0,0,7
MRK3480 Forbrukeratferd,5698da612fb0de2600f22ace,0,4,1,2,0,0,7
MRK3480 Forbrukeratferd,5698da5541a9d72100240758,0,4,0,1,2,0,7
MRK3480 Forbrukeratferd,5698da6941a9d72100240922,0,2,2,1,2,0,7
MRK3480 Forbrukeratferd,5698da5941a9d7210024077c,0,2,0,1,4,0,7
MRK3480 Forbrukeratferd,5698da492fb0de2600f229a5,0,3,2,1,1,0,7
MRK3480 Forbrukeratferd,5698da6641a9d721002408fd,0,2,3,2,0,0,7
MRK3480 Forbrukeratferd,5698da792fb0de2600f22c02,0,2,4,1,0,0,7
MRK3480 Forbrukeratferd,5698da5241a9d72100240735,0,1,4,0,2,0,7
MRK3480 Forbrukeratferd,5698da452fb0de2600f22979,1,1,1,2,2,0,7
MRK3480 Forbrukeratferd,5698da5441a9d72100240756,0,2,3,1,1,0,7
MRK3480 Forbrukeratferd,5698da5841a9d72100240778,1,1,3,1,1,0,7
MRK3480 Forbrukeratferd,5698da4c41a9d721002406e6,0,7,0,0,0,0,7
MRK3480 Forbrukeratferd,5698da7541a9d721002409a2,0,1,5,1,0,0,7
MRK3480 Forbrukeratferd,5698da712fb0de2600f22b91,0,3,4,0,0,0,7
MRK3480 Forbrukeratferd,5698da6041a9d721002407e4,0,2,0,2,4,0,8
MRK3480 Forbrukeratferd,5698da4641a9d721002406a9,0,3,4,1,0,0,8
MRK3480 Forbrukeratferd,5698da742fb0de2600f22bc1,0,4,3,1,0,0,8
MRK3480 Forbrukeratferd,5698da5041a9d72100240717,0,3,2,0,3,0,8
MRK3480 Forbrukeratferd,5698da4341a9d7210024068e,0,3,2,3,0,0,8
MRK3480 Forbrukeratferd,5698da532fb0de2600f22a1e,2,0,5,1,0,0,8
MRK3480 Forbrukeratferd,5698da6b2fb0de2600f22b4b,0,1,3,2,2,0,8
MRK3480 Forbrukeratferd,5698da4c41a9d721002406e4,0,7,1,0,0,0,8
MRK3480 Forbrukeratferd,5698da522fb0de2600f22a19,0,6,1,0,1,0,8
MRK3480 Forbrukeratferd,5698da692fb0de2600f22b3d,1,1,6,0,0,0,8
MRK3480 Forbrukeratferd,5698da4b2fb0de2600f229c8,0,7,0,0,1,0,8
MRK3480 Forbrukeratferd,5698da542fb0de2600f22a3b,0,4,1,0,3,0,8
MRK3480 Forbrukeratferd,5698da4e2fb0de2600f229ea,0,1,4,3,0,0,8
MRK3480 Forbrukeratferd,5698da7841a9d721002409d2,0,2,5,0,1,0,8
MRK3480 Forbrukeratferd,5698da4841a9d721002406bf,1,2,2,1,2,0,8
MRK3480 Forbrukeratferd,5698da4841a9d721002406be,0,3,4,0,1,0,8
MRK3480 Forbrukeratferd,5698da762fb0de2600f22bda,0,2,3,1,3,0,9
MRK3480 Forbrukeratferd,5698da602fb0de2600f22ac7,2,0,0,4,3,0,9
MRK3480 Forbrukeratferd,5698da4941a9d721002406c4,0,0,3,3,3,0,9
MRK3480 Forbrukeratferd,5698da5d2fb0de2600f22a9c,0,1,5,1,2,0,9
MRK3480 Forbrukeratferd,5698da5a2fb0de2600f22a78,0,1,4,3,1,0,9
MRK3480 Forbrukeratferd,5698da5e2fb0de2600f22aa2,0,6,0,1,2,0,9
MRK3480 Forbrukeratferd,5698da572fb0de2600f22a52,1,1,2,3,2,0,9
MRK3480 Forbrukeratferd,5698da4c2fb0de2600f229ce,1,1,4,1,2,0,9
MRK3480 Forbrukeratferd,5698da7a2fb0de2600f22c09,0,4,3,1,1,0,9
MRK3480 Forbrukeratferd,5698da642fb0de2600f22afa,0,1,6,1,1,0,9
MRK3480 Forbrukeratferd,5698da5f41a9d721002407cd,0,1,4,2,2,0,9
MRK3480 Forbrukeratferd,5698da602fb0de2600f22ac5,2,0,5,0,2,0,9
MRK3480 Forbrukeratferd,5698da6a41a9d72100240928,0,2,3,2,2,0,9
MRK3480 Forbrukeratferd,5698da472fb0de2600f2299a,1,2,3,1,2,0,9
MRK3480 Forbrukeratferd,5698da6741a9d72100240900,0,3,1,3,3,0,10
MRK3480 Forbrukeratferd,5698da682fb0de2600f22b25,0,4,6,0,0,0,10
MRK3480 Forbrukeratferd,5698da512fb0de2600f22a13,5,2,3,0,0,0,10
